depth,vp,vs
0,659,337.9487179
10,2234,1145.641026
20,2632,1349.74359
30,2850,1461.538462
40,3083,1581.025641
50,3272,1677.948718
60,3420,1753.846154
70,3532,1811.282051
80,3630,1861.538462
90,3714,1904.615385
100,3775,1935.897436
110,3811,1954.358974
120,3829,1963.589744
130,3831,1964.615385
140,3831,1964.615385
150,3831,1964.615385
160,3831,1964.615385
170,3831,1964.615385
180,3831,1964.615385
190,3831,1964.615385
200,3831,1964.615385
210,3831,1964.615385
220,3831,1964.615385
230,3831,1964.615385
240,3831,1964.615385
250,3831,1964.615385
260,3831,1964.615385
270,3831,1964.615385
280,3831,1964.615385
290,3831,1964.615385
300,3831,1964.615385
310,3831,1964.615385
320,3831,1964.615385
330,3831,1964.615385
340,3831,1964.615385
350,3831,1964.615385
360,3831,1964.615385
370,3831,1964.615385
380,3831,1964.615385
390,3831,1964.615385
400,3831,1964.615385
410,3831,1964.615385
420,3831,1964.615385
430,3831,1964.615385
440,3831,1964.615385
450,3831,1964.615385
460,3831,1964.615385
470,3831,1964.615385
480,3831,1964.615385
490,3831,1964.615385
500,3831,1964.615385
510,3831,1964.615385
520,3831,1964.615385
530,3831,1964.615385
540,3831,1964.615385
550,3831,1964.615385
560,3831,1964.615385
570,3831,1964.615385
580,3831,1964.615385
590,3831,1964.615385
600,3831,1964.615385
610,3831,1964.615385
620,3831,1964.615385
630,3831,1964.615385
640,3831,1964.615385
650,3831,1964.615385
660,3831,1964.615385
670,3831,1964.615385
680,3831,1964.615385
690,3831,1964.615385
700,3831,1964.615385
710,3831,1964.615385
720,3831,1964.615385
730,3831,1964.615385
740,3831,1964.615385
750,3831,1964.615385
760,3831,1964.615385
770,3831,1964.615385
780,3831,1964.615385
790,3831,1964.615385
800,3831,1964.615385
810,3831,1964.615385
820,3831,1964.615385
830,3831,1964.615385
840,3831,1964.615385
850,3831,1964.615385
860,3831,1964.615385
870,3831,1964.615385
880,3831,1964.615385
890,3831,1964.615385
900,3831,1964.615385
910,3831,1964.615385
920,3831,1964.615385
930,3831,1964.615385
940,3831,1964.615385
950,3831,1964.615385
960,3831,1964.615385
970,3831,1964.615385
980,3831,1964.615385
990,3831,1964.615385
1000,3831,1964.615385
1010,3831,1964.615385
1020,3831,1964.615385
1030,3831,1964.615385
1040,3831,1964.615385
1050,3831,1964.615385
1060,3831,1964.615385
1070,3831,1964.615385
1080,3831,1964.615385
1090,3831,1964.615385
1100,3831,1964.615385
1110,3831,1964.615385
1120,3831,1964.615385
1130,3831,1964.615385
1140,3831,1964.615385
1150,3831,1964.615385
1160,3831,1964.615385
1170,3831,1964.615385
1180,3831,1964.615385
1190,3831,1964.615385
1200,3831,1964.615385
1210,3831,1964.615385
1220,3831,1964.615385
1230,3831,1964.615385
1240,3831,1964.615385
1250,3831,1964.615385
1260,3831,1964.615385
1270,3831,1964.615385
1280,3831,1964.615385
1290,3831,1964.615385
1300,3831,1964.615385
1310,3831,1964.615385
1320,3831,1964.615385
1330,3831,1964.615385
1340,3831,1964.615385
1350,3831,1964.615385
1360,3831,1964.615385
1370,3831,1964.615385
1380,3831,1964.615385
1390,3831,1964.615385
1400,3831,1964.615385
1410,3831,1964.615385
1420,3831,1964.615385
1430,3831,1964.615385
1440,3831,1964.615385
1450,3831,1964.615385
1460,3831,1964.615385
1470,3831,1964.615385
1480,3831,1964.615385
1490,3831,1964.615385
1500,3831,1964.615385
1510,3831,1964.615385
1520,3831,1964.615385
1530,3831,1964.615385
1540,3831,1964.615385
1550,3831,1964.615385
1560,3831,1964.615385
1570,3831,1964.615385
1580,3831,1964.615385
1590,3831,1964.615385
1600,3831,1964.615385
1610,3831,1964.615385
1620,3831,1964.615385
1630,3831,1964.615385
1640,3831,1964.615385
1650,3831,1964.615385
1660,3831,1964.615385
1670,3831,1964.615385
1680,3831,1964.615385
1690,3831,1964.615385
1700,3831,1964.615385
1710,3831,1964.615385
1720,3831,1964.615385
1730,3831,1964.615385
1740,3831,1964.615385
1750,3831,1964.615385
1760,3831,1964.615385
1770,3831,1964.615385
1780,3831,1964.615385
1790,3831,1964.615385
1800,3831,1964.615385
1810,3831,1964.615385
1820,3831,1964.615385
1830,3831,1964.615385
1840,3831,1964.615385
1850,3831,1964.615385
1860,3831,1964.615385
1870,3831,1964.615385
1880,3831,1964.615385
1890,3831,1964.615385
1900,3831,1964.615385
1910,3831,1964.615385
1920,3831,1964.615385
1930,3831,1964.615385
1940,3831,1964.615385
1950,3831,1964.615385
1960,3831,1964.615385
1970,3831,1964.615385
1980,3831,1964.615385
1990,3831,1964.615385
2000,3831,1964.615385
2010,3831,1964.615385
2020,3831,1964.615385
2030,3831,1964.615385
2040,3831,1964.615385
2050,3831,1964.615385
2060,3831,1964.615385
2070,3831,1964.615385
2080,3831,1964.615385
2090,3831,1964.615385
2100,3831,1964.615385
2110,3831,1964.615385
2120,3831,1964.615385
2130,3831,1964.615385
2140,3831,1964.615385
2150,3831,1964.615385
2160,3831,1964.615385
2170,3831,1964.615385
2180,3831,1964.615385
2190,3831,1964.615385
2200,3831,1964.615385
2210,3831,1964.615385
2220,3831,1964.615385
2230,3831,1964.615385
2240,3831,1964.615385
2250,3831,1964.615385
2260,3831,1964.615385
2270,3831,1964.615385
2280,3831,1964.615385
2290,3831,1964.615385
2300,3831,1964.615385
2310,3831,1964.615385
2320,3831,1964.615385
2330,3831,1964.615385
2340,3831,1964.615385
2350,3831,1964.615385
2360,3831,1964.615385
2370,3831,1964.615385
2380,3831,1964.615385
2390,3831,1964.615385
2400,3831,1964.615385
2410,3831,1964.615385
2420,3831,1964.615385
2430,3831,1964.615385
2440,3831,1964.615385
2450,3831,1964.615385
2460,3831,1964.615385
2470,3831,1964.615385
2480,3831,1964.615385
2490,3831,1964.615385
2500,3831,1964.615385
2510,3831,1964.615385
2520,3831,1964.615385
2530,3831,1964.615385
2540,3831,1964.615385
2550,3831,1964.615385
2560,3831,1964.615385
2570,3831,1964.615385
2580,3831,1964.615385
2590,3831,1964.615385
2600,3831,1964.615385
2610,3831,1964.615385
2620,3831,1964.615385
2630,3831,1964.615385
2640,3831,1964.615385
2650,3831,1964.615385
2660,3831,1964.615385
2670,3831,1964.615385
2680,3831,1964.615385
2690,3831,1964.615385
2700,3831,1964.615385
2710,3831,1964.615385
2720,3831,1964.615385
2730,3831,1964.615385
2740,3831,1964.615385
2750,3831,1964.615385
2760,3831,1964.615385
2770,3831,1964.615385
2780,3831,1964.615385
2790,3831,1964.615385
2800,3831,1964.615385
2810,3831,1964.615385
2820,3831,1964.615385
2830,3831,1964.615385
2840,3831,1964.615385
2850,3831,1964.615385
2860,3831,1964.615385
2870,3831,1964.615385
2880,3831,1964.615385
2890,3831,1964.615385
2900,3831,1964.615385
2910,3831,1964.615385
2920,3831,1964.615385
2930,3831,1964.615385
2940,3831,1964.615385
2950,3831,1964.615385
2960,3831,1964.615385
2970,3831,1964.615385
2980,3831,1964.615385
2990,3831,1964.615385
3000,3831,1964.615385