t,power,slowness,back_azi
2020-01-01T01:30:46.005000Z,2356802.24287,0.32,81.0
2020-01-01T01:30:46.015000Z,2511909.60339,0.2,117.0
2020-01-01T01:30:46.025000Z,2837836.10877,0.32,81.0
2020-01-01T01:30:46.035000Z,2933956.07926,0.36,81.0
2020-01-01T01:30:46.045000Z,3130621.70956,0.36,81.0
2020-01-01T01:30:46.055000Z,2966969.6882,0.36,81.0
2020-01-01T01:30:46.065000Z,2764997.98989,0.36,81.0
2020-01-01T01:30:46.075000Z,2506013.14712,0.36,81.0
2020-01-01T01:30:46.085000Z,2220611.7464,0.4,93.0
2020-01-01T01:30:46.095000Z,2145781.70896,0.12,153.0
2020-01-01T01:30:46.105000Z,2419185.16082,0.28,249.0
2020-01-01T01:30:46.115000Z,2065402.35179,0.32,249.0
2020-01-01T01:30:46.125000Z,2227401.39441,0.32,252.0
2020-01-01T01:30:46.135000Z,2188723.67887,0.32,252.0
2020-01-01T01:30:46.145000Z,2288296.8666,0.32,252.0
2020-01-01T01:30:46.155000Z,2234369.71579,0.32,252.0
2020-01-01T01:30:46.165000Z,2433109.7169,0.32,252.0
2020-01-01T01:30:46.175000Z,2460918.60306,0.4,255.0
2020-01-01T01:30:46.185000Z,2065340.42585,0.28,249.0
2020-01-01T01:30:46.195000Z,1968874.07129,0.12,141.0
2020-01-01T01:30:46.205000Z,2291817.99782,0.12,144.0
2020-01-01T01:30:46.215000Z,1985024.77017,0.12,150.0
2020-01-01T01:30:46.225000Z,1998641.22985,0.16,171.0
2020-01-01T01:30:46.235000Z,2352612.5,0.16,174.0
2020-01-01T01:30:46.245000Z,2480467.17658,0.16,174.0
2020-01-01T01:30:46.255000Z,2250841.26649,0.16,177.0
2020-01-01T01:30:46.265000Z,2038714.61624,0.16,150.0
2020-01-01T01:30:46.275000Z,1969602.27719,0.16,150.0
2020-01-01T01:30:46.285000Z,1899430.03797,0.16,147.0
2020-01-01T01:30:46.295000Z,1842562.80478,0.16,147.0
2020-01-01T01:30:46.305000Z,2663464.42318,0.12,225.0
2020-01-01T01:30:46.315000Z,4293275.45303,0.12,225.0
2020-01-01T01:30:46.325000Z,4757706.00411,0.12,228.0
2020-01-01T01:30:46.335000Z,5054424.93845,0.12,228.0
2020-01-01T01:30:46.345000Z,5507399.74751,0.12,228.0
2020-01-01T01:30:46.355000Z,5556916.77046,0.12,228.0
2020-01-01T01:30:46.365000Z,5853752.65645,0.12,228.0
2020-01-01T01:30:46.375000Z,6349006.62476,0.12,228.0
2020-01-01T01:30:46.385000Z,5685431.19404,0.16,228.0
2020-01-01T01:30:46.395000Z,5237023.62657,0.16,228.0
2020-01-01T01:30:46.405000Z,4937799.65486,0.16,231.0
2020-01-01T01:30:46.415000Z,4909477.81034,0.16,231.0
2020-01-01T01:30:46.425000Z,5296987.52289,0.16,231.0
2020-01-01T01:30:46.435000Z,5528578.72549,0.16,234.0
2020-01-01T01:30:46.445000Z,5512324.73422,0.16,234.0
2020-01-01T01:30:46.455000Z,5269837.93748,0.16,234.0
2020-01-01T01:30:46.465000Z,5098233.95056,0.16,237.0
2020-01-01T01:30:46.475000Z,4992646.16084,0.16,237.0
2020-01-01T01:30:46.485000Z,4732143.69422,0.16,237.0
2020-01-01T01:30:46.495000Z,4094385.24939,0.16,240.0
2020-01-01T01:30:46.505000Z,1452688.41433,0.16,258.0
2020-01-01T01:30:46.515000Z,1070757.69965,0.4,210.0
2020-01-01T01:30:46.525000Z,1047586.52506,0.4,210.0
2020-01-01T01:30:46.535000Z,887887.010683,0.4,210.0
2020-01-01T01:30:46.545000Z,788361.451944,0.4,189.0
2020-01-01T01:30:46.555000Z,898103.967959,0.4,210.0
2020-01-01T01:30:46.565000Z,962592.829982,0.36,204.0
2020-01-01T01:30:46.575000Z,906254.469717,0.36,204.0
2020-01-01T01:30:46.585000Z,822190.356889,0.44,156.0
2020-01-01T01:30:46.595000Z,898087.032682,0.44,156.0
2020-01-01T01:30:46.605000Z,904032.785668,0.44,156.0
2020-01-01T01:30:46.615000Z,990860.999151,0.44,156.0
2020-01-01T01:30:46.625000Z,908017.218574,0.44,156.0
2020-01-01T01:30:46.635000Z,815819.221106,0.44,159.0
2020-01-01T01:30:46.645000Z,862204.690689,1.0,249.0
2020-01-01T01:30:46.655000Z,751990.084764,0.8,243.0
2020-01-01T01:30:46.665000Z,830375.162346,0.8,243.0
2020-01-01T01:30:46.675000Z,692170.9368,0.8,243.0
2020-01-01T01:30:46.685000Z,564079.490404,0.24,222.0
2020-01-01T01:30:46.695000Z,724932.123241,0.32,33.0
2020-01-01T01:30:46.705000Z,709212.582441,0.28,36.0
2020-01-01T01:30:46.715000Z,702363.23166,0.4,117.0
2020-01-01T01:30:46.725000Z,838696.254199,1.0,183.0
2020-01-01T01:30:46.735000Z,1154388.07444,1.0,183.0
2020-01-01T01:30:46.745000Z,1076639.47822,1.0,183.0
2020-01-01T01:30:46.755000Z,1489226.74849,0.12,84.0
2020-01-01T01:30:46.765000Z,1891166.23761,0.12,84.0
2020-01-01T01:30:46.775000Z,1932298.2805,0.2,87.0
2020-01-01T01:30:46.785000Z,2292680.01032,0.2,90.0
2020-01-01T01:30:46.795000Z,2829799.98267,0.2,96.0
2020-01-01T01:30:46.805000Z,2968946.74763,0.2,96.0
2020-01-01T01:30:46.815000Z,2880250.6174,0.2,102.0
2020-01-01T01:30:46.825000Z,3148437.34449,0.16,102.0
2020-01-01T01:30:46.835000Z,3726323.84601,0.2,102.0
2020-01-01T01:30:46.845000Z,3734377.17989,0.16,99.0
2020-01-01T01:30:46.855000Z,3598971.73507,0.16,99.0
2020-01-01T01:30:46.865000Z,3732875.26335,0.2,99.0
2020-01-01T01:30:46.875000Z,4046067.1358,0.2,99.0
2020-01-01T01:30:46.885000Z,3600667.0758,0.2,99.0
2020-01-01T01:30:46.895000Z,3562643.0381,0.2,99.0
2020-01-01T01:30:46.905000Z,3646054.41377,0.24,99.0
2020-01-01T01:30:46.915000Z,3278358.63771,0.24,99.0
2020-01-01T01:30:46.925000Z,2705641.02666,0.24,99.0
2020-01-01T01:30:46.935000Z,2573570.44132,0.36,150.0
2020-01-01T01:30:46.945000Z,2989943.77355,0.36,150.0
2020-01-01T01:30:46.955000Z,3200833.45562,0.36,150.0
2020-01-01T01:30:46.965000Z,3377234.13473,0.36,150.0
2020-01-01T01:30:46.975000Z,3598627.78147,0.36,150.0
2020-01-01T01:30:46.985000Z,3767637.03546,0.36,150.0
2020-01-01T01:30:46.995000Z,3475004.64747,0.36,147.0
2020-01-01T01:30:47.005000Z,3750824.91628,0.36,147.0
2020-01-01T01:30:47.015000Z,3486471.41462,0.36,147.0
2020-01-01T01:30:47.025000Z,2848057.73018,0.4,144.0
2020-01-01T01:30:47.035000Z,2751236.53581,0.4,147.0
2020-01-01T01:30:47.045000Z,2835742.70198,0.4,147.0
2020-01-01T01:30:47.055000Z,3192657.04861,0.4,147.0
2020-01-01T01:30:47.065000Z,3385007.76608,0.4,147.0
2020-01-01T01:30:47.075000Z,3502759.75188,0.36,150.0
2020-01-01T01:30:47.085000Z,4037038.32036,0.36,150.0
2020-01-01T01:30:47.095000Z,3963725.5313,0.36,150.0
2020-01-01T01:30:47.105000Z,3867838.08454,0.36,150.0
2020-01-01T01:30:47.115000Z,3478839.60053,0.36,147.0
2020-01-01T01:30:47.125000Z,2327188.39311,0.32,147.0
2020-01-01T01:30:47.135000Z,1567656.43818,0.32,147.0
2020-01-01T01:30:47.145000Z,1100249.5126,0.32,150.0
2020-01-01T01:30:47.155000Z,1074000.00087,0.04,330.0
2020-01-01T01:30:47.165000Z,1059003.84747,0.04,315.0
2020-01-01T01:30:47.175000Z,1091979.85815,0.04,309.0
2020-01-01T01:30:47.185000Z,953879.658107,0.24,207.0
2020-01-01T01:30:47.195000Z,1207975.68203,0.24,210.0
2020-01-01T01:30:47.205000Z,879745.714133,0.24,207.0
2020-01-01T01:30:47.215000Z,837734.472246,0.24,207.0
2020-01-01T01:30:47.225000Z,844546.784742,0.24,144.0
2020-01-01T01:30:47.235000Z,740374.63575,0.2,129.0
2020-01-01T01:30:47.245000Z,625115.099507,0.16,153.0
2020-01-01T01:30:47.255000Z,740542.062165,0.16,156.0
2020-01-01T01:30:47.265000Z,739356.94638,0.12,150.0
2020-01-01T01:30:47.275000Z,710292.007383,0.12,150.0
2020-01-01T01:30:47.285000Z,534435.910976,0.84,243.0
2020-01-01T01:30:47.295000Z,572448.471416,0.84,243.0
2020-01-01T01:30:47.305000Z,738555.119964,0.84,243.0
2020-01-01T01:30:47.315000Z,723794.301772,0.24,207.0
2020-01-01T01:30:47.325000Z,751351.061051,0.28,225.0
2020-01-01T01:30:47.335000Z,691905.300305,0.28,222.0
2020-01-01T01:30:47.345000Z,691410.925135,0.64,348.0
2020-01-01T01:30:47.355000Z,635796.674421,0.64,348.0
2020-01-01T01:30:47.365000Z,746040.912745,0.2,207.0
2020-01-01T01:30:47.375000Z,735568.893615,0.24,27.0
2020-01-01T01:30:47.385000Z,819725.757849,0.64,351.0
2020-01-01T01:30:47.395000Z,875041.901352,0.64,351.0
2020-01-01T01:30:47.405000Z,969283.035129,0.64,351.0
2020-01-01T01:30:47.415000Z,953083.09902,0.64,348.0
2020-01-01T01:30:47.425000Z,785233.108319,0.64,348.0
2020-01-01T01:30:47.435000Z,724734.903204,0.32,258.0
2020-01-01T01:30:47.445000Z,685462.683111,0.64,351.0
2020-01-01T01:30:47.455000Z,766001.871848,0.16,207.0
2020-01-01T01:30:47.465000Z,705158.767589,0.16,204.0
2020-01-01T01:30:47.475000Z,814286.276532,0.04,228.0
2020-01-01T01:30:47.485000Z,1055417.91828,0.32,78.0
2020-01-01T01:30:47.495000Z,1141504.35576,0.36,84.0
2020-01-01T01:30:47.505000Z,1579302.99194,0.32,78.0
2020-01-01T01:30:47.515000Z,1800716.41879,0.32,75.0
2020-01-01T01:30:47.525000Z,1678947.53065,0.32,75.0
2020-01-01T01:30:47.535000Z,1849689.57565,0.32,72.0
2020-01-01T01:30:47.545000Z,1759064.11048,0.28,72.0
2020-01-01T01:30:47.555000Z,1981279.9089,0.28,72.0
2020-01-01T01:30:47.565000Z,2064841.91728,0.28,72.0
2020-01-01T01:30:47.575000Z,2076047.15891,0.28,72.0
2020-01-01T01:30:47.585000Z,2208687.77423,0.28,69.0
2020-01-01T01:30:47.595000Z,2562294.90328,0.28,69.0
2020-01-01T01:30:47.605000Z,2324335.37214,0.32,78.0
2020-01-01T01:30:47.615000Z,2260149.41607,0.32,75.0
2020-01-01T01:30:47.625000Z,2329227.0084,0.32,75.0
2020-01-01T01:30:47.635000Z,2265777.77406,0.36,78.0
2020-01-01T01:30:47.645000Z,2338160.21405,0.36,81.0
2020-01-01T01:30:47.655000Z,2390722.12472,0.28,69.0
2020-01-01T01:30:47.665000Z,2046919.17849,0.28,69.0
2020-01-01T01:30:47.675000Z,1681402.04713,0.36,54.0
2020-01-01T01:30:47.685000Z,1486378.21703,0.36,54.0
2020-01-01T01:30:47.695000Z,1344585.5017,0.36,54.0
2020-01-01T01:30:47.705000Z,1092998.02853,0.08,351.0
2020-01-01T01:30:47.715000Z,949248.981048,0.44,147.0
2020-01-01T01:30:47.725000Z,941839.255832,0.44,147.0
2020-01-01T01:30:47.735000Z,1120650.56826,0.08,96.0
2020-01-01T01:30:47.745000Z,1247164.57027,0.08,96.0
2020-01-01T01:30:47.755000Z,1376087.22304,0.08,93.0
2020-01-01T01:30:47.765000Z,1461520.99059,0.08,90.0
2020-01-01T01:30:47.775000Z,1150522.41915,0.08,84.0
2020-01-01T01:30:47.785000Z,2033095.37507,0.12,105.0
2020-01-01T01:30:47.795000Z,2772315.28116,0.12,105.0
2020-01-01T01:30:47.805000Z,2732733.39643,0.12,105.0
2020-01-01T01:30:47.815000Z,3048808.17066,0.12,105.0
2020-01-01T01:30:47.825000Z,3022027.72922,0.12,105.0
2020-01-01T01:30:47.835000Z,3189252.54365,0.12,105.0
2020-01-01T01:30:47.845000Z,3445159.69982,0.12,105.0
2020-01-01T01:30:47.855000Z,3919341.96772,0.12,102.0
2020-01-01T01:30:47.865000Z,3491587.10394,0.12,108.0
2020-01-01T01:30:47.875000Z,3328241.15171,0.12,105.0
2020-01-01T01:30:47.885000Z,3401336.27772,0.12,105.0
2020-01-01T01:30:47.895000Z,3837612.21408,0.12,102.0
2020-01-01T01:30:47.905000Z,4100842.14431,0.12,102.0
2020-01-01T01:30:47.915000Z,3917582.28648,0.12,99.0
2020-01-01T01:30:47.925000Z,3719677.91304,0.12,102.0
2020-01-01T01:30:47.935000Z,3313934.90126,0.12,102.0
2020-01-01T01:30:47.945000Z,3223738.53222,0.12,102.0
2020-01-01T01:30:47.955000Z,3344452.84632,0.12,105.0
2020-01-01T01:30:47.965000Z,3269246.83904,0.12,105.0
2020-01-01T01:30:47.975000Z,3479126.7776,0.12,108.0
2020-01-01T01:30:47.985000Z,1970646.10977,0.08,177.0
2020-01-01T01:30:47.995000Z,1279942.87013,0.32,138.0
2020-01-01T01:30:48.005000Z,1224787.03574,0.32,141.0
2020-01-01T01:30:48.015000Z,1106310.80242,0.28,138.0
2020-01-01T01:30:48.025000Z,1123537.61054,0.28,138.0
2020-01-01T01:30:48.035000Z,1203321.88195,0.28,135.0
2020-01-01T01:30:48.045000Z,1201925.94757,0.28,135.0
2020-01-01T01:30:48.055000Z,1040075.46834,0.28,135.0
2020-01-01T01:30:48.065000Z,793830.207364,0.4,258.0
2020-01-01T01:30:48.075000Z,754605.707752,0.24,177.0
2020-01-01T01:30:48.085000Z,900853.475528,0.44,108.0
2020-01-01T01:30:48.095000Z,855163.275761,0.44,108.0
2020-01-01T01:30:48.105000Z,887492.773939,0.4,63.0
2020-01-01T01:30:48.115000Z,931576.264221,0.4,63.0
2020-01-01T01:30:48.125000Z,950729.848171,0.4,63.0
2020-01-01T01:30:48.135000Z,901216.155965,0.28,180.0
2020-01-01T01:30:48.145000Z,1068228.74695,0.28,180.0
2020-01-01T01:30:48.155000Z,1089157.39607,0.2,300.0
2020-01-01T01:30:48.165000Z,1791904.92937,0.2,297.0
2020-01-01T01:30:48.175000Z,1851783.54902,0.2,297.0
2020-01-01T01:30:48.185000Z,1920523.58056,0.2,300.0
2020-01-01T01:30:48.195000Z,1963390.43099,0.2,297.0
2020-01-01T01:30:48.205000Z,2025237.93244,0.2,297.0
2020-01-01T01:30:48.215000Z,2080766.49264,0.2,300.0
2020-01-01T01:30:48.225000Z,3368375.15625,0.32,177.0
2020-01-01T01:30:48.235000Z,4048626.27428,0.32,174.0
2020-01-01T01:30:48.245000Z,5194542.41548,0.32,177.0
2020-01-01T01:30:48.255000Z,5373101.88039,0.32,177.0
2020-01-01T01:30:48.265000Z,5478931.97614,0.36,174.0
2020-01-01T01:30:48.275000Z,5682054.68043,0.36,174.0
2020-01-01T01:30:48.285000Z,6180011.44198,0.32,177.0
2020-01-01T01:30:48.295000Z,5563172.87981,0.32,177.0
2020-01-01T01:30:48.305000Z,5469870.69504,0.32,177.0
2020-01-01T01:30:48.315000Z,5045400.68753,0.32,177.0
2020-01-01T01:30:48.325000Z,4859447.10479,0.32,177.0
2020-01-01T01:30:48.335000Z,4553020.95901,0.32,177.0
2020-01-01T01:30:48.345000Z,4435085.99737,0.32,174.0
2020-01-01T01:30:48.355000Z,4714691.77012,0.32,174.0
2020-01-01T01:30:48.365000Z,4535126.81728,0.32,174.0
2020-01-01T01:30:48.375000Z,4461912.22673,0.32,174.0
2020-01-01T01:30:48.385000Z,4336720.31706,0.32,174.0
2020-01-01T01:30:48.395000Z,4117740.86471,0.32,174.0
